trace_id,latency,total_spans,contains_errors,error_rate,error_messages,operation,services,longest_span_service,longest_span_duration,mean_span_duration
5df4df3adc6f23c2,5093,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1676,643.5
7702240598e95197,5741,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2109,777.1666666666666
6e9e7513e5e6c5c5,5837,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2258,838.1666666666666
46931248412efda5,5651,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1984,743.6666666666666
3329e07a5164c542,5944,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2269,816.5
0b52c40c7ae7ba43,5594,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1897,755.1666666666666
2a9463e6c0e86efa,5768,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1908,746.0
71e5606de8d5d3e2,4998,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1734,658.1666666666666
7d2113cb3f36fd94,5624,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2039,746.1666666666666
6248160210bd9840,6006,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2199,830.8333333333334
01255a53914a3de9,6416,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2697,981.1666666666666
4289a2d4939658e1,5819,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2672,881.8333333333334
1f5ac39b470860af,5849,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2264,850.0
3d22153726161041,5979,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2278,839.3333333333334
51c8dd2f664cceb7,5470,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2291,781.6666666666666
26a0dcc47efdb626,5816,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2122,794.1666666666666
28f03da234b878d3,5969,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2081,822.5
7b89ddebb1e49d11,5445,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1898,717.5
6b5d33f8c0c46c65,25528,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,20996,4298.666666666667
11717ce41ebebd7a,4979,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1407,572.3333333333334
474fc4a4179d12d3,6977,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,2901,1099.0
