trace_id,latency,total_spans,contains_errors,error_rate,error_messages,operation,services,longest_span_service,longest_span_duration,mean_span_duration
4b9767f4f6713d9f,9239,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,frontend,1718,647.8
5018e736362242dc,6673,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1587,433.93333333333334
6fff3dc278558771,7212,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1816,478.06666666666666
70cbf5eba3852b0c,77372,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,reservation,67453,5167.933333333333
2bd6b898b60396af,7147,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1844,464.93333333333334
267fc511ed693865,67908,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,reservation,54486,4538.6
23bf90f30fb81e5e,5856,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1624,389.8
307039c3bc07587a,6394,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1716,422.6666666666667
036cc32a40b204b3,9260,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,frontend,1643,657.1333333333333
3eda3893432baacf,6980,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,frontend,1322,500.73333333333335
16c280755ef9ef56,6950,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1716,462.93333333333334
47fdb04c1f11f1af,7346,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,frontend,2081,487.93333333333334
2806af748d0339a6,5814,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1428,378.46666666666664
0694b72d0c2d86ec,4744,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1132,302.53333333333336
7bcf525bbc311a2d,6272,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1812,391.06666666666666
429749d18d62a6c9,6902,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1942,447.4
02c5a0632f468351,7713,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,2048,503.26666666666665
05f7f5b3cfbac485,10904,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,frontend,1988,758.8
53ad5d67aef411da,9059,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,frontend,1754,634.5333333333333
5e402b0379da000f,11016,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,6313,725.6666666666666
1077997ecf5c5cb5,9385,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,frontend,1697,658.8
4bff4f3a6dffd934,45422,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,reservation,35775,3034.6666666666665
44e7175911f72370,6512,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1764,411.26666666666665
31bd6a7bc1909507,5937,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1548,385.2
62aa732c59a3435a,10206,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1819,721.8666666666667
486db35627624a58,9257,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,frontend,4881,603.8
736f60920e23883e,10273,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1859,723.8666666666667
5b25dedc7312a082,59130,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,reservation,49798,3957.0666666666666
7c2b8880ff28e067,5481,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1455,356.1333333333333
593ec20c92299830,6593,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1691,428.53333333333336
4374d1ce9a3477bb,6092,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1588,406.6
2c1e8bd870dfc468,6419,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1770,419.6666666666667
401db2917c4c66b8,9839,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1705,690.7333333333333
3156856b2949466d,6686,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1929,444.0
3055762f258df71b,6966,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1834,454.6666666666667
7fe944caab8e066d,7218,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1989,484.26666666666665
39d143ca584a34d6,8555,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,frontend,1537,615.9333333333333
5a96b1f54cf683e3,83658,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,reservation,73024,5591.2
0378e228bca1598e,8698,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,frontend,1495,611.2666666666667
44d764bfcfb7138e,7390,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,frontend,1388,526.2666666666667
221680e3471a31c4,8024,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,frontend,1420,577.6
622995aba3baf2d5,38999,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,reservation,28926,2613.0666666666666
5247bc49ccc3f653,9814,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,frontend,1774,688.6
7b93d388da7bc5a5,22620,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,frontend,18577,1501.9333333333334
7c76f282b379575a,6894,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1770,451.06666666666666
335244a2f7965dca,34997,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,frontend,30310,2330.8
4f11026ced69df31,9756,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,frontend,1721,685.6666666666666
427fd2566b255e7d,33715,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,reservation,25033,2268.3333333333335
640ce0d97fd3432e,6285,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1698,409.0
691d7ace1dad6ecf,6497,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1637,423.73333333333335
43f922f86feeee6e,47697,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,reservation,37789,3189.9333333333334
593e898263d36792,51699,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,reservation,41721,3470.4
2a665c39b86df0b3,8969,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,frontend,1581,625.8666666666667
631ba628712dbfd3,11372,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,frontend,7260,756.5333333333333
28555677f39bc45b,6895,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,2011,456.73333333333335
6e511b0910f05fd0,68400,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,reservation,45799,4575.2
47d0ec580dea1d43,55798,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,frontend,36553,3742.866666666667
2c3268d844e4362a,8860,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,frontend,1647,624.2
196a175731fbe13b,88492,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,frontend,70116,5914.333333333333
745bbcd8c1850de7,45255,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,frontend,25622,3052.8
099ee2b6d1cc4a05,8223,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,frontend,1475,593.5333333333333
131b1e0d8d31c859,10299,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1850,718.1333333333333
04aab790a199b140,10386,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1894,718.3333333333334
19fcb126481b663c,6673,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1889,441.1333333333333
02d14be28296007f,9069,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,search,1564,635.2666666666667
56e0aab43392ed6a,52155,15,False,0.0,,HTTP GET /hotels,profile; reservation; geo; frontend; search; rate,reservation,43219,3493.8
