trace_id,latency,total_spans,contains_errors,error_rate,error_messages,operation,services,longest_span_service,longest_span_duration,mean_span_duration
3ec3e87b7dfff3b8,30024,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,reservation,20089,2023.6666666666667
48965457dbc3838b,7336,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,search,1865,462.2
4f716865b0624ce2,9467,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,frontend,2272,627.9333333333333
4b1be08aeccd573e,6625,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,frontend,1590,385.2
63f58485db28fd0c,10006,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,frontend,2152,679.6
78f59502a3eaf04e,7168,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,search,1725,456.46666666666664
275f67ed11908089,57150,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,reservation,46621,3858.2
74514f18eb777a8a,6468,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,search,1488,384.73333333333335
592f29872ba30deb,21971,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,frontend,16689,1423.4666666666667
2577f194338857b6,6178,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,frontend,1428,346.53333333333336
733cd01a487aea0c,6935,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,search,1726,430.1333333333333
46504398a148a22e,6681,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,frontend,1505,399.8666666666667
51799ec02c7b2a0f,6668,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,search,1714,416.6666666666667
1a1be25878bef4ea,7654,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,search,2130,486.06666666666666
5cc5dc3e38146c96,10001,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,frontend,2423,690.1333333333333
3e30cfef7a740104,7130,15,False,0.0,,HTTP GET /hotels,rate; geo; profile; search; reservation; frontend,search,1840,453.73333333333335
787089f57e8c9320,10441,15,False,0.0,,HTTP GET /hotels,rate; geo; profile; search; reservation; frontend,frontend,2435,722.9333333333333
3b2e7ca52b93f91d,6337,15,False,0.0,,HTTP GET /hotels,rate; geo; profile; search; reservation; frontend,frontend,1413,366.2
56fcca2afec0b3e7,7441,15,False,0.0,,HTTP GET /hotels,rate; geo; profile; search; reservation; frontend,search,1979,475.06666666666666
0149836e28e3506b,12143,15,False,0.0,,HTTP GET /hotels,rate; geo; profile; search; reservation; frontend,frontend,6326,772.9333333333333
78a7baf046ca9824,6176,15,False,0.0,,HTTP GET /hotels,rate; geo; profile; search; reservation; frontend,search,1396,341.73333333333335
4fdffeec422f5eff,87774,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,reservation,77746,5907.066666666667
70a210842640b5d8,9908,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,frontend,2289,694.0
53c471fc262bb9bb,6482,15,False,0.0,,HTTP GET /hotels,rate; geo; search; profile; reservation; frontend,search,1792,402.2
