trace_id,latency,total_spans,contains_errors,error_rate,error_messages,operation,services,longest_span_service,longest_span_duration,mean_span_duration
4e873bb054d6bf75,6059,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1640,403.93333333333334
5f6fed2d032cf531,5325,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1359,355.0
75d4619be991829a,5975,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1428,398.3333333333333
363b06e8db1e4827,6258,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1668,417.2
5cd92912941a0d2f,6687,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1743,445.8
21188ac4cd72ae1b,6025,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1595,401.6666666666667
781b62ce9824627b,5986,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1091,399.06666666666666
4196982b252b00b5,7438,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1683,495.8666666666667
28a8d86108e9ceeb,34105,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,reservation,26626,2273.6666666666665
45b7a051fe220eb3,8856,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1733,590.4
450aff0c9b3486c4,5610,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1416,374.0
60e03a52a17fa61f,46075,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,reservation,38515,3071.6666666666665
0f03cf613a853c91,6972,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1489,464.8
593361c38ecbb953,34956,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,reservation,27724,2330.4
15d091eed7268ac5,7550,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1705,503.3333333333333
1932327c63e478dd,4771,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1107,318.06666666666666
4caa66cb30875f7f,67615,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,reservation,60110,4507.666666666667
0bc3c583815cc6cb,7278,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1631,485.2
43bacd894f917eae,4490,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1055,299.3333333333333
0372f7eabfa72423,6386,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1695,425.73333333333335
5b377ef5bcf8c630,7434,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1561,495.6
558fbf41de93bd25,6197,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1822,413.1333333333333
39ccbe43240c47ab,7098,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1530,473.2
0e2f5e165a09ae33,7304,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1356,486.93333333333334
75aa633c8a880d40,5059,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1314,337.26666666666665
639c399a800f5934,8470,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1756,564.6666666666666
741ad749b165bdf4,6387,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1865,425.8
7513025b63857b5e,5530,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1402,368.6666666666667
7b8f2e30b76a29a7,5812,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1449,387.46666666666664
79b56e0ae357b26d,7831,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1501,522.0666666666667
1f626bbcc84882e9,7721,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1652,514.7333333333333
7e10938d627e82ca,52055,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,reservation,44700,3470.3333333333335
593d3e24d36c88c4,5386,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1303,359.06666666666666
78a9ef683d491a26,9971,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,3699,664.7333333333333
067e038a0066c8e1,4585,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1140,305.6666666666667
39aa897ffd8dce9f,6282,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1510,418.8
4e4cdc6713e33067,6810,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1691,454.0
27c08bc2187177cb,5775,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1382,385.0
448d33415545731c,8715,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1520,581.0
6188a63969e638ff,4430,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1017,295.3333333333333
767088e914eb6cd4,6375,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1640,425.0
1bde466bf49bc70c,8144,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1479,542.9333333333333
7802bbe5fad73c61,6340,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1492,422.6666666666667
259abb86f2fb96d8,8437,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1869,562.4666666666667
751e47ffbd066a29,7627,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1752,508.46666666666664
712966d45900fd6c,7441,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1428,496.06666666666666
2d65cffebee34b41,55028,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,reservation,46476,3668.5333333333333
5fbc4383ce2ea95d,7734,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1620,515.6
50f0a313b8f4ac14,7793,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1424,519.5333333333333
4ccc180e14a6cd24,35948,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,reservation,28808,2396.5333333333333
701163471763f07f,6783,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,2054,452.2
250c96c8276e7b83,5155,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1451,343.6666666666667
70f5aeab4b123542,7102,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1491,473.46666666666664
09f8b9f2e16c3d40,6135,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1674,409.0
3a20ebd85213d076,4578,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1181,305.2
0bf49a620e01cc5b,5207,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1457,347.1333333333333
7ee69962426e1145,8301,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1764,553.4
6dd7078566f91461,8002,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1750,533.4666666666667
23dd3596a4f13230,6701,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1838,446.73333333333335
1a8adf011560469c,8544,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1797,569.6
706f7425f8e68242,6405,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1791,427.0
00c490645a9d9f48,6644,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1847,442.93333333333334
10059c0db51a7d2f,7774,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1598,518.2666666666667
290e1e966dadfb0d,6002,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1655,400.1333333333333
718b757c6c23fdf4,6571,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1615,438.06666666666666
1a36d94d035edad4,5994,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1181,399.6
63a8b00bcab5a0af,6299,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1516,419.93333333333334
7c823a2a83e6b1b3,7903,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1763,526.8666666666667
6bfb9c98a876ffca,5285,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1314,352.3333333333333
7a120c0e79fe19e1,6041,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1526,403.93333333333334
2ec5a57e28ef2151,23810,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,reservation,16274,1587.3333333333333
55b984d11b87831f,8292,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1567,552.8
4d74373eda575bfa,5393,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1518,359.53333333333336
0b1691d8102bd2f3,6264,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1572,417.6
3b0aa673e965f249,82074,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,77123,5471.6
1f452fff85743f30,7177,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1605,478.46666666666664
2717ce4cc4dcc7a6,5034,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1419,335.6
2526823cef033890,7247,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,search,2537,483.1333333333333
4d95fe6576c9b150,6154,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1589,410.26666666666665
2d8f03a991a921f4,42808,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,36775,2853.866666666667
3e0a7c48f4a58c16,6147,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1276,409.8
22c596a6761ecb7f,6450,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1454,430.0
7da6b9cc314f02d8,6617,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1764,441.1333333333333
6d0bc24f9f982ed2,74199,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,reservation,66358,4946.6
088c9caaec08de91,33793,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,27823,2252.866666666667
3708a4f618f5d164,9749,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,search,2366,649.9333333333333
01c6336e6f5266b4,5904,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1565,393.6
76a53002401fc4c6,78482,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,reservation,70509,5232.133333333333
5640a23e0b06dc50,9731,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,2443,648.7333333333333
2eb24b8ef91baa00,8145,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,2740,543.0
3b9c646e46c0eca5,68256,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,63627,4550.4
2da7addf5921c2ae,55821,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,49623,3721.4
6d7b0b5f0c83b88b,14935,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,8958,995.6666666666666
3b59dcea88c21ec8,5270,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,852,351.3333333333333
2da608eb22023061,55258,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,49620,3683.866666666667
7bba80b77e5441ec,7449,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1555,496.6
3d98cddccef7b2f9,6420,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1693,428.0
6590ede0f930aeb6,66636,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,reservation,58469,4442.4
