trace_id,latency,total_spans,contains_errors,error_rate,error_messages,operation,services,longest_span_service,longest_span_duration,mean_span_duration
120ec0c0d3ac70f0,3398,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1572,566.3333333333334
1016b977d2fc3e77,3097,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1440,516.1666666666666
1ff2494d421c8a6c,3749,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1163,624.8333333333334
54d8e50a66dd802a,4784,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,2346,797.3333333333334
54fc39722fe3e31d,3965,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1737,660.8333333333334
05dbb7f9ce0407d5,3816,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1355,636.0
6b7f2a33dfacd99a,3680,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1691,613.3333333333334
3dad38b1cb77b6db,2672,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1260,445.3333333333333
756ed9f727ed732d,3023,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1163,503.8333333333333
002805044bb903a5,4356,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1660,726.0
4c76c5a69630a87e,3856,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1473,642.6666666666666
0419386f90131c80,3628,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1564,604.6666666666666
2116697dd248895a,3956,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1669,659.3333333333334
21968f4bbe78881c,2698,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1266,449.6666666666667
50df7d7b3ee7d396,3823,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1553,637.1666666666666
4537e2757663209d,3640,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1490,606.6666666666666
0a890a4b35d01d63,3525,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1373,587.5
3d5ffb9ad3c417fa,3719,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1376,619.8333333333334
477d20d3952514c8,3794,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1640,632.3333333333334
410935cb9195adf8,3201,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1256,533.5
07085444536cd323,4468,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1634,744.6666666666666
3ff9d3d7345fe237,4242,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1795,707.0
6a7d1515a9f00c48,3913,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1666,652.1666666666666
2b571029d694bc6b,3575,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1403,595.8333333333334
310d9316617fbdc0,3661,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1489,610.1666666666666
4095e07311945eea,3417,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1514,569.5
2c27b6a24e99364a,3170,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1144,528.3333333333334
1e05df39a604345f,3145,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1293,524.1666666666666
2f87faafac2c7576,3327,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1428,554.5
791da99c8b1b45b6,3581,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1543,596.8333333333334
099da25a802c1998,3267,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1517,544.5
534ffb129a8c76fe,3845,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1560,640.8333333333334
48dd7794256b9640,4596,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1833,766.0
056cd06753998b93,4022,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1537,670.3333333333334
338f8d9543979ad7,3198,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1288,533.0
0c178af6735a04d4,3948,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1544,658.0
538f6ed8a1ac9df6,3039,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1214,506.5
0e5a6660a3bb6eb6,3016,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1151,502.6666666666667
