trace_id,latency,total_spans,contains_errors,error_rate,error_messages,operation,services,longest_span_service,longest_span_duration,mean_span_duration
76e9760b569e8af7,3798,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1713,650.6666666666666
51617177dc3a08a0,6968,15,False,0.0,,HTTP GET /hotels,search; reservation; geo; rate; frontend; profile,frontend,2815,518.7333333333333
4a6f5344db3d75f5,3569,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1689,609.0
248fcdd12d8b384b,9460,15,False,0.0,,HTTP GET /hotels,search; reservation; profile; geo; frontend; rate,frontend,2805,836.8666666666667
0a81cd49d0114c00,4088,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1752,692.6666666666666
09b4ed47e2669a0a,4599,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,profile,1688,770.1666666666666
4466ce39ccb24db1,6807,15,False,0.0,,HTTP GET /hotels,search; reservation; profile; geo; frontend; rate,frontend,2750,522.1333333333333
39caf1cbc9be91f6,9693,15,False,0.0,,HTTP GET /hotels,search; reservation; profile; geo; frontend; rate,frontend,2772,824.6
20bb0da9cbbee201,7103,15,False,0.0,,HTTP GET /hotels,search; reservation; geo; rate; frontend; profile,frontend,2794,518.8666666666667
6124aa270f777880,3736,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1588,626.0
1d90ad59ef790693,76660,15,False,0.0,,HTTP GET /hotels,search; reservation; profile; geo; frontend; rate,reservation,67728,5292.2
7f83ebd67de85a81,8039,15,False,0.0,,HTTP GET /hotels,search; reservation; profile; geo; frontend; rate,frontend,2492,754.4666666666667
4476204b34613147,9716,15,False,0.0,,HTTP GET /hotels,search; reservation; profile; geo; frontend; rate,frontend,2831,846.5333333333333
12da89e406dd0345,3531,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1655,591.8333333333334
7d398c9e2eab25bf,4177,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1757,700.1666666666666
1751b02ed09f77fe,87789,15,False,0.0,,HTTP GET /hotels,search; reservation; profile; geo; frontend; rate,reservation,78155,6032.466666666666
571a1997523cbe74,3781,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1585,633.8333333333334
084554559c5ae5e9,6734,15,False,0.0,,HTTP GET /hotels,search; reservation; profile; geo; frontend; rate,frontend,2614,488.8
7840fc46265d4d13,5851,7,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1947,855.7142857142857
7ae7b0d64ca7b7e7,5894,7,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1751,860.7142857142857
45683b513907d5f5,82282,15,False,0.0,,HTTP GET /hotels,search; reservation; profile; geo; frontend; rate,reservation,73116,5655.0
4341e157dfb46d01,6956,15,False,0.0,,HTTP GET /hotels,search; reservation; profile; geo; frontend; rate,frontend,2903,534.5333333333333
7ed4eb76147cb03f,6872,15,False,0.0,,HTTP GET /hotels,search; reservation; profile; geo; frontend; rate,frontend,2938,508.46666666666664
152768386e618d8a,82910,15,False,0.0,,HTTP GET /hotels,search; reservation; profile; geo; frontend; rate,reservation,72535,5686.266666666666
1de6f7c608004d91,3378,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1457,566.6666666666666
014ef36d0bbf0559,7279,15,False,0.0,,HTTP GET /hotels,search; reservation; profile; geo; frontend; rate,frontend,2565,504.3333333333333
2a40923949024e9a,4218,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1494,717.5
5a4591803f1d227b,3533,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1520,602.5
0c53d3e63eb73d31,6592,15,False,0.0,,HTTP GET /hotels,search; reservation; geo; rate; frontend; profile,frontend,2774,512.6666666666666
38775ec72472bc0f,8125,15,False,0.0,,HTTP GET /hotels,search; reservation; geo; rate; frontend; profile,frontend,2578,761.8
688b877e7654234d,2608,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1217,431.6666666666667
4552cef335bce91f,68845,15,False,0.0,,HTTP GET /hotels,search; reservation; geo; rate; frontend; profile,frontend,62667,4781.666666666667
22fbfcc18cd2aa4f,2878,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1241,482.8333333333333
2d5ec3a6f1b5de87,6954,15,False,0.0,,HTTP GET /hotels,search; reservation; geo; rate; frontend; profile,frontend,2477,678.6666666666666
12605372827dc59c,4999,15,False,0.0,,HTTP GET /hotels,search; reservation; geo; rate; frontend; profile,frontend,2182,386.53333333333336
2b2bf74269dbac64,10642,15,False,0.0,,HTTP GET /hotels,search; reservation; profile; geo; frontend; rate,frontend,2855,907.9333333333333
2b39be4ff0a2f4ad,3733,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1833,625.6666666666666
71dc5ace4ebabf4f,9668,15,False,0.0,,HTTP GET /hotels,search; reservation; profile; geo; frontend; rate,frontend,2825,839.3333333333334
1aa191e23562b125,3155,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1213,530.6666666666666
169b8fa471590f4e,6763,15,False,0.0,,HTTP GET /hotels,search; reservation; profile; geo; frontend; rate,frontend,2788,512.8
14e498995828cf00,46276,15,False,0.0,,HTTP GET /hotels,search; reservation; profile; geo; frontend; rate,reservation,37736,3278.5333333333333
020e189cb63b0739,13853,15,False,0.0,,HTTP GET /hotels,search; reservation; profile; geo; frontend; rate,frontend,8533,971.8666666666667
5eb14b4508c9bddb,3195,6,False,0.0,,HTTP GET /recommendations,recommendation; frontend; profile,frontend,1360,536.1666666666666
