trace_id,latency,total_spans,contains_errors,error_rate,error_messages,operation,services,longest_span_service,longest_span_duration,mean_span_duration
70cd01f9f588218c,4915,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1603,330.53333333333336
51cc3c42e7d56ac5,7309,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,2105,519.6
49a023e47c4156aa,45168,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,reservation,36738,3051.8
25a579c93a3cba18,6949,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,2082,511.53333333333336
7d59e2bd9c7b6f80,7749,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,2120,552.2666666666667
385ca13ab2afdfaf,5583,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1633,377.1333333333333
5c663d5d3d420bfc,6934,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,2030,519.0
4563f567c4e63a27,20736,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,reservation,11782,1422.1333333333334
098f46188f99d488,7214,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1909,530.0
1e62ae7abf8fe503,4206,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,955,282.06666666666666
37c331674914168e,4110,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1283,276.2
43ca4ff80a37698f,4786,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1241,322.0
76c3ac50197dc0c2,6042,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1887,405.8666666666667
72811a9e0d6fa08b,75954,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,reservation,68810,5103.333333333333
4fce55e62b53b8c0,19316,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,15476,1287.7333333333333
3c81a908fabb9a48,7196,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1846,527.8
78d8ec24ea30077b,3869,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1000,260.73333333333335
716dee9d4630532a,8058,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,2206,579.0666666666667
447841a4de17fff1,5543,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1816,372.3333333333333
4b25ced70deeba58,5073,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1475,341.1333333333333
243d35cd3dad1d9b,5497,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,2165,366.46666666666664
2ffafcd10e64e48f,5815,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1573,391.26666666666665
3614727d7926c23c,19646,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,15578,1309.7333333333333
575461cba5145b38,8404,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,2181,595.4666666666667
178e796298672e68,7403,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1917,534.6666666666666
56beebbea260f850,8172,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1878,590.8666666666667
004e3ccd86623a1a,36997,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,reservation,29320,2515.2
63c6d4cc6bc36e38,76971,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,reservation,69061,5171.933333333333
0cdd656b341bbdc0,4779,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1334,321.8666666666667
37f72a9f13eb7db8,6005,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,search,1593,409.53333333333336
6c3f812fd41dd79c,37714,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,reservation,29952,2571.133333333333
359ad6597f6104f8,6901,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,2086,510.93333333333334
56e7725ce5c7744b,72387,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,reservation,65869,4872.266666666666
1b52b0e68b4c7a9e,67185,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,65031,4479.0
0f30c02275011bb7,5324,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1630,358.8
