trace_id,latency,total_spans,contains_errors,error_rate,error_messages,operation,services,longest_span_service,longest_span_duration,mean_span_duration
0dac29c3bc5263cb,10417,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3165,821.0
05fee824c608b872,6387,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,2959,430.46666666666664
353411751e2f0076,9865,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3372,664.2
2cd0f6d9cc61c454,13243,21,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3117,1020.6666666666666
5e580633742d7ef8,11361,16,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,2906,869.9375
7efa35ba54541ce1,12017,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3406,948.7333333333333
6748c035fb21648f,6260,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,2701,424.3333333333333
7e065d7333e29304,14361,22,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3286,1096.4545454545455
322b9544cd80b664,8072,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3278,547.4
7ff4e372f7d49dbd,8115,15,False,0.0,,HTTP GET /hotels,search; frontend; profile; reservation; geo; rate,frontend,3101,540.5333333333333
741920f0b9de09ee,13477,17,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3211,987.2941176470588
0d7c31c81417c4be,8452,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3256,550.0666666666667
40313f9f4b4e5734,7402,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3046,482.3333333333333
3f5fdac6027cb5df,6553,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,2824,441.0
0c2cd457556bc3ed,15135,18,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3353,1095.611111111111
1344ab6c89af9ee9,24240,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,search,16888,1620.9333333333334
34826d09c8169734,10444,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3194,833.4
7759bd66ce42654f,8298,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3183,563.0
69741351951c3961,6435,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,2759,423.6666666666667
0ab2503716105bc1,11193,16,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,2807,862.6875
322b9544cd80b664,8072,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3278,547.4
7ff4e372f7d49dbd,8115,15,False,0.0,,HTTP GET /hotels,search; frontend; profile; reservation; geo; rate,frontend,3101,540.5333333333333
40313f9f4b4e5734,7402,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3046,482.3333333333333
741920f0b9de09ee,13477,17,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3211,987.2941176470588
0d7c31c81417c4be,8452,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3256,550.0666666666667
0c2cd457556bc3ed,15135,18,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3353,1095.611111111111
3f5fdac6027cb5df,6553,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,2824,441.0
7759bd66ce42654f,8298,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3183,563.0
69741351951c3961,6435,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,2759,423.6666666666667
0ab2503716105bc1,11193,16,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,2807,862.6875
1344ab6c89af9ee9,24240,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,search,16888,1620.9333333333334
34826d09c8169734,10444,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3194,833.4
4a7a2af7bda55eb8,8522,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3330,570.8
5d3107d2675a9ae5,11075,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3141,883.2
561447170e85e317,7566,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,2947,499.8666666666667
5d98ce3e3a08fd89,11477,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3315,915.4
5c0ecf79471bba6c,10908,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,2973,864.2666666666667
44cb7c95e4c41ba8,7324,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3109,493.4
